task,view,model,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,mae,rmse,r2
Late Delivery Classification,Prepared,Logistic Regression (Keras),0.5623384297215451,0.5569554002018767,1.0,0.7154416884769611,0.7317499417494904,0.7983486644090056,0.22840438783168793,,,
Late Delivery Classification,Prepared,Decision Tree,0.619617401580619,0.5916009243764443,0.9966438448113841,0.7424742474247424,0.7979358681177602,0.8392934785005619,0.10248617704154252,,,
Late Delivery Classification,Prepared,Random Forest,0.6135238939360367,0.5877022909824714,0.9969794603302456,0.7394886858679147,0.7990606182247273,0.8590315571623031,0.30183214553974247,,,
Late Delivery Classification,Prepared,XGBoost,0.6191742373882857,0.5910137334285941,0.9994630151698215,0.7427915793674549,0.8018580645047517,0.8607454131606478,0.2672242224216461,,,
Late Delivery Classification,Wrapper,Logistic Regression (Keras),0.5624492207696284,0.5570264004188168,0.9998657537924553,0.7154658981748319,0.7323544078937652,0.7990969908175439,0.23075899481773376,,,
Late Delivery Classification,Wrapper,Decision Tree,0.6211315459044242,0.5936226034308779,0.9871794871794872,0.7414110352128652,0.7992887541136324,0.8199791085249861,0.27373478963818276,,,
Late Delivery Classification,Wrapper,Random Forest,0.6155181328015363,0.5893504321159744,0.9932876896227681,0.7397705401554728,0.798288826527227,0.8595244863598998,0.31171379090369994,,,
Late Delivery Classification,Wrapper,XGBoost,0.623125784769924,0.594377186984676,0.9919452275473218,0.743341465254898,0.8002847028099781,0.8595865802233853,0.32412129640579224,,,
Late Delivery Classification,PCA,Logistic Regression (Keras),0.5524041657434079,0.5518128916741272,0.9929520741039065,0.7093943317508272,0.7197455064443691,0.7798185093940857,0.27864113450050354,,,
Late Delivery Classification,PCA,Decision Tree,0.6120836103109536,0.5881196855446815,0.9842260706135052,0.7362791865428069,0.7834115554462188,0.8326927396474489,0.27893226594155507,,,
Late Delivery Classification,PCA,Random Forest,0.5905901469827904,0.574844891227519,0.9826151161229695,0.7253493211772867,0.7689514946849305,0.838227067858713,0.32140757360007793,,,
Late Delivery Classification,PCA,XGBoost,0.6117512371667035,0.5876123876123877,0.9870452409719426,0.7366680860656765,0.7875342421515016,0.8497016375959965,0.32996082305908203,,,
Sales Forecasting,Prepared,Linear Regression (Keras),,,,,,,,36.591420073426576,141.9940465827888,-0.15064712472618136
Sales Forecasting,Prepared,Decision Tree,,,,,,,,22.531113186523438,54.23265721605812,0.8321491084395001
Sales Forecasting,Prepared,Random Forest,,,,,,,,17.3514081450072,40.571443583566904,0.906061676307306
Sales Forecasting,Prepared,XGBoost,,,,,,,,15.910434920395533,33.38805537161954,0.9363813960455973
Sales Forecasting,Wrapper,Linear Regression (Keras),,,,,,,,36.920576525357724,141.61066492061855,-0.1444420550573131
Sales Forecasting,Wrapper,Decision Tree,,,,,,,,13.934949095584784,30.481045893304536,0.9469773274322577
Sales Forecasting,Wrapper,Random Forest,,,,,,,,18.74003756682213,44.00276911119142,0.8895000962062143
Sales Forecasting,Wrapper,XGBoost,,,,,,,,16.45838346181357,34.920443967865324,0.9304076667206649
Sales Forecasting,PCA,Linear Regression (Keras),,,,,,,,38.25397437948056,140.73846520080602,-0.13038791486202195
Sales Forecasting,PCA,Decision Tree,,,,,,,,28.23131440268121,57.76582689865603,0.8095662701658072
Sales Forecasting,PCA,Random Forest,,,,,,,,28.573877143254016,57.082507469293475,0.8140449534842854
Sales Forecasting,PCA,XGBoost,,,,,,,,26.483156383686957,49.49975601138635,0.8601675390132842
