dataset,model,features,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,tn,fp,fn,tp
fraud_prepared_numeric,Random Forest,55,0.9640483048969644,0.20581113801452786,0.20935960591133004,0.20757020757020758,0.7403208642436445,0.138929546644486,0.5118602104618667,34636,656,642,170
fraud_prepared_numeric,XGBoost,55,0.9403667183691558,0.08940600122473974,0.17980295566502463,0.11942740286298568,0.6945225693426663,0.07558035511134392,0.5831031203269958,33805,1487,666,146
fraud_prepared_numeric,Decision Tree,55,0.9569022822955905,0.09477124183006536,0.10714285714285714,0.10057803468208093,0.6785142874171792,0.055735260667657945,0.8169140585556188,34461,831,725,87
fraud_selected_features_rfecv,Decision Tree,17,0.923194105916242,0.05853219270598829,0.16009852216748768,0.08572370590174744,0.6276765963511177,0.040763057947055176,0.6956853855062464,33201,2091,682,130
fraud_selected_features_rfecv,Random Forest,17,0.8932528251717261,0.04759071980963712,0.19704433497536947,0.07666506947771921,0.5933442890809902,0.03995064949929893,0.5278637035023314,32090,3202,652,160
fraud_selected_features_rfecv,XGBoost,17,0.8512076224241081,0.03639690931272875,0.2204433497536946,0.062478184991274,0.6015237094439131,0.033711913887397374,0.5454854369163513,30553,4739,633,179
fraud_pca_95_variance,Random Forest,11,0.9160203855528474,0.04170107349298101,0.12438423645320197,0.06246134817563389,0.5632520822760039,0.03128653068223136,0.5491500663332319,32971,2321,711,101
fraud_pca_95_variance,XGBoost,11,0.9005927321072458,0.03639398998330551,0.13423645320197045,0.05726293669556081,0.555457749673519,0.028751378543689025,0.5780810713768005,32406,2886,703,109
fraud_pca_95_variance,Decision Tree,11,0.721859073786838,0.02676374077112387,0.32142857142857145,0.049413101098068915,0.5420186910722032,0.02634684383795492,0.5718624456551411,25801,9491,551,261
fraud_prepared_numeric,Linear Regression,55,0.36666297363173056,0.02330105481583953,0.6637931034482759,0.04502171734046108,0.5249770702580414,0.02455002169386481,0.4792736768722534,12699,22593,273,539
fraud_selected_features_rfecv,Linear Regression,17,0.5652282295590516,0.02477491858757423,0.47783251231527096,0.04710738784677958,0.520932505950357,0.023929228150555364,0.5047791004180908,20019,15273,424,388
fraud_pca_95_variance,Linear Regression,11,0.5157600265898515,0.023876163820186213,0.5147783251231527,0.045635678803428135,0.5191618804189007,0.023835941341741523,0.49943000078201294,18203,17089,394,418
