view,model,mae,rmse,r2
PCA,XGBoost,26.483156383686957,49.49975601138635,0.8601675390132842
PCA,Random Forest,28.573877143254016,57.082507469293475,0.8140449534842854
PCA,Decision Tree,28.23131440268121,57.76582689865603,0.8095662701658072
PCA,Linear Regression (Keras),38.25397437948056,140.73846520080602,-0.13038791486202195
Prepared,XGBoost,15.910434920395533,33.38805537161954,0.9363813960455973
Prepared,Random Forest,17.3514081450072,40.571443583566904,0.906061676307306
Prepared,Decision Tree,22.531113186523438,54.23265721605812,0.8321491084395001
Prepared,Linear Regression (Keras),36.591420073426576,141.9940465827888,-0.15064712472618136
Wrapper,Decision Tree,13.934949095584784,30.481045893304536,0.9469773274322577
Wrapper,XGBoost,16.45838346181357,34.920443967865324,0.9304076667206649
Wrapper,Random Forest,18.74003756682213,44.00276911119142,0.8895000962062143
Wrapper,Linear Regression (Keras),36.920576525357724,141.61066492061855,-0.1444420550573131
